city,lat,lng,max temperature,humidity,cloudiness,wind speed,country,date
adre,13.4664563,22.1977187,70.93,89.0,100.0,1.05,TD,1659133542.0
saldanha,-32.9977778,17.9455556,48.47,66.0,95.0,2.51,ZA,1659133543.0
lebu,-37.6099644,-73.6559477,48.96,83.0,16.0,20.33,CL,1659133543.0
moberly,39.4201137,-92.4364298,80.42,56.0,0.0,5.75,US,1659133543.0
meulaboh,4.1481951,96.1339107,75.54,86.0,100.0,2.37,ID,1659133544.0
comodoro rivadavia,-45.8632024,-67.4752615,50.45,57.0,0.0,8.05,AR,1659133544.0
samusu,-13.9974088,-171.4288872,80.13,79.0,29.0,19.95,WS,1659133545.0
cabo san lucas,22.8938884,-109.9200604,94.1,40.0,20.0,14.97,MX,1659133545.0
palabuhanratu,-6.9882409,106.5503728,76.42,91.0,100.0,3.13,ID,1659133546.0
pisco,-13.7099813,-76.2029793,62.49,77.0,100.0,4.61,PE,1659133546.0
upernavik,72.7847392,-56.1469625,42.84,88.0,100.0,7.38,GL,1659133547.0
tanout,14.97119,8.878363,87.24,42.0,0.0,9.04,NE,1659133547.0
karratha,-20.7370067,116.8478592,65.98,53.0,6.0,2.01,AU,1659133547.0
syamzha,60.0178626,41.07546242715689,53.76,94.0,28.0,4.05,RU,1659133548.0
hofn,64.2532647,-15.2080441,47.75,77.0,100.0,23.26,IS,1659133548.0
ayios matthaios,39.4939685,19.8728635,75.38,47.0,0.0,3.44,GR,1659133549.0
zaraza,9.3502541,-65.3249956,77.86,84.0,84.0,4.79,VE,1659133549.0
benicarlo,40.4180244,0.4229813,78.89,82.0,25.0,1.9,ES,1659133550.0
grand gaube,-20.0086191,57.6644156,68.4,76.0,86.0,5.99,MU,1659133550.0
tiksi,71.636604,128.868546,47.98,84.0,100.0,5.48,RU,1659133550.0
sao gabriel da cachoeira,-0.1249715,-67.0813855,77.18,86.0,85.0,2.15,BR,1659133551.0
taoudenni,22.6762333,-3.9805269,105.49,14.0,50.0,11.32,ML,1659133551.0
troitskoye,55.2468939,37.6270931,62.91,94.0,36.0,6.06,RU,1659133552.0
saint-pierre,48.3832725,7.4718731,71.69,61.0,50.0,4.12,FR,1659133552.0
ribeira grande,37.8225227,-25.5194914,71.94,83.0,20.0,9.22,PT,1659133553.0
belmonte,39.5592831,-2.7038117,74.53,29.0,0.0,7.67,ES,1659133553.0
muros,40.678061,8.617315,73.85,74.0,0.0,1.95,IT,1659133554.0
golfito,8.6389291,-83.1684777,80.78,84.0,84.0,4.25,CR,1659133554.0
bafq,31.5997065,55.3966892,87.06,39.0,100.0,9.89,IR,1659133555.0
fort nelson,58.8062066,-122.6942704,58.64,94.0,100.0,6.91,CA,1659133555.0
kavieng,-2.573474,150.795224,82.51,67.0,50.0,12.15,PG,1659133555.0
sandane,8.40685,17.5976667,70.14,97.0,100.0,1.59,TD,1659133556.0
ambovombe,-25.178398,46.0877489,65.26,88.0,9.0,9.35,MG,1659133557.0
ilulissat,69.2197127,-51.0986385,50.29,66.0,75.0,4.61,GL,1659133557.0
jalu,29.0331149,21.5482209,83.91,44.0,0.0,12.12,LY,1659133557.0
kirakira,-10.4568963,161.9201736,81.64,76.0,98.0,5.08,SB,1659133558.0
egvekinot,66.3227382,-179.1201311,54.55,56.0,11.0,3.8,RU,1659133558.0
almaznyy,48.030155,40.039642,71.42,63.0,67.0,11.21,RU,1659133559.0
grand river south east,-20.2907247,57.7851931,68.5,88.0,40.0,17.27,MU,1659133559.0
lorengau,-2.0329567,147.2789185,83.26,70.0,81.0,11.25,PG,1659133560.0
isangel,-19.5410863,169.2810885,78.03,83.0,100.0,6.91,VU,1659133560.0
port hueneme,34.1477558,-119.1951559,95.79,63.0,0.0,12.66,US,1659133561.0
babu,24.4155435,111.5464663,76.66,84.0,26.0,2.01,CN,1659133561.0
cayenne,4.9371143,-52.3258307,81.07,1.0,75.0,0.0,GF,1659133562.0
vila franca do campo,37.7171624,-25.4335352,72.01,74.0,82.0,3.65,PT,1659133562.0
nogent-le-rotrou,48.321809,0.8211488,70.52,47.0,43.0,2.3,FR,1659133562.0
manokwari,-0.8614456,134.0767324,79.95,75.0,99.0,3.29,ID,1659133563.0
port elizabeth,-33.9617051,25.6207519,55.51,82.0,20.0,19.57,ZA,1659133563.0
torbay,47.6576953,-52.726986,60.1,86.0,100.0,9.22,CA,1659133564.0
qaanaaq,77.4686357,-69.2222746,40.37,61.0,2.0,0.67,GL,1659133564.0
shache,38.4170434,77.2411446,79.72,22.0,90.0,8.63,CN,1659133565.0
zihuatanejo,17.6467874,-101.5519746,89.51,62.0,40.0,6.91,MX,1659133565.0
portland,45.5202471,-122.6741949,102.49,41.0,20.0,8.05,US,1659133566.0
portobelo,9.5538162,-79.6549259,83.41,82.0,90.0,4.85,PA,1659133566.0
hilo,19.7073734,-155.0815803,88.2,82.0,100.0,11.5,US,1659133566.0
tubruq,32.0773764,23.9599988,78.1,78.0,0.0,13.65,LY,1659133567.0
dabola,10.742172,-11.106486,71.31,92.0,89.0,3.49,GN,1659133567.0
sault sainte marie,46.52391,-84.320068,64.63,81.0,100.0,14.97,CA,1659133568.0
cascais,38.72240025,-9.396909171649877,69.91,75.0,17.0,30.0,PT,1659133568.0
airai,-8.92655,125.40922,53.4,86.0,42.0,3.2,TL,1659133569.0
sao joao da barra,-21.6348588,-41.0487079,72.64,80.0,16.0,22.95,BR,1659133569.0
